step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,speed,acc_x,acc_y,acc_z,heading_x,heading_y,heading_z,dist_to_obs,margin,collision,dist_to_target,progress_pct,depth_valid_pct
39,2.6000,-8.4607,1.1351,6.0424,-0.8946,-1.2066,0.3942,1.5529,1.6185,2.7163,-0.5737,-0.5606,-0.7829,0.2696,2.1283,0.1732,0,0.9042,67.19,0.00
40,2.6667,-8.5167,1.0607,6.0674,-0.7855,-1.0246,0.3535,1.3386,1.6541,2.7421,-0.6455,-0.5650,-0.7768,0.2780,2.1517,0.1732,0,1.0003,63.71,0.00
41,2.7333,-8.5654,0.9985,6.0896,-0.6748,-0.8419,0.3102,1.1227,1.6690,2.7402,-0.6536,-0.5701,-0.7703,0.2859,2.1762,0.1732,0,1.0820,60.74,0.00
42,2.8000,-8.6067,0.9484,6.1088,-0.5615,-0.6587,0.2676,0.9059,1.7303,2.7550,-0.6265,-0.5757,-0.7628,0.2943,2.2002,0.1732,0,1.1493,58.30,0.00
43,2.8667,-8.6403,0.9107,6.1253,-0.4486,-0.4790,0.2247,0.6937,1.6565,2.6360,-0.6601,-0.5824,-0.7549,0.3016,2.2224,0.1732,0,1.2020,56.39,0.00
44,2.9333,-8.6665,0.8846,6.1388,-0.3372,-0.3029,0.1809,0.4880,1.6853,2.6463,-0.6543,-0.5909,-0.7472,0.3043,2.2418,0.1732,0,1.2406,54.99,0.00
45,3.0000,-8.6852,0.8703,6.1494,-0.2235,-0.1297,0.1350,0.2916,1.7243,2.5506,-0.7207,-0.6011,-0.7393,0.3036,2.2576,0.1732,0,1.2651,54.10,0.00
46,3.0667,-8.6963,0.8673,6.1568,-0.1097,0.0372,0.0881,0.1456,1.6900,2.4570,-0.6863,-0.6125,-0.7302,0.3029,2.2690,0.1732,0,1.2756,53.72,0.00
47,3.1333,-8.6998,0.8752,6.1611,0.0023,0.1923,0.0412,0.1967,1.6693,2.1954,-0.7220,-0.6265,-0.7214,0.2951,2.2762,0.1732,0,1.2726,53.83,0.00
48,3.2000,-8.6960,0.8929,6.1623,0.1108,0.3351,-0.0066,0.3530,1.5872,2.0888,-0.7132,-0.6424,-0.7117,0.2842,2.2787,0.1732,0,1.2570,54.39,0.00
